ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 1XD42-69	1XD42-69 sp014287635
OTU2	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 28L	28L sp000177555
OTU3	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 43-108	43-108 sp001915545
OTU4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp001917175
OTU5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900539605
OTU6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900542055
OTU7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900762565
OTU8	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AF33-28	AF33-28 sp003477885
OTU9	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 AM07-15	AM07-15 sp003477405
OTU10	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp003478275
OTU11	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp900546435
OTU12	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp900761925
OTU13	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Absicoccus	Absicoccus porci
OTU14	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Absicoccus	Absicoccus sp000434355
OTU15	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp003447295
OTU16	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900066365
OTU17	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900066565
OTU18	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900554205
OTU19	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900755865
OTU20	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900760705
OTU21	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900766575
OTU22	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900771995
OTU23	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900772845
OTU24	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetivibrio_A	Acetivibrio_A ethanolgignens
OTU25	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Achromobacter	Achromobacter xylosoxidans
OTU26	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus fermentans
OTU27	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus fermentans_A
