gene_id,SRR9654972,SRR9654980,SRR9654983,SRR9654984,SRR9654985,SRR9654987,SRR9654988,SRR9654989,SRR9654990,SRR9654993,SRR9654994,SRR9654995,SRR9654996,SRR9654997,SRR9654998,SRR9655000,SRR9655004,SRR9655005,SRR9655008,SRR9655009,SRR9655010,SRR9655012,SRR9655013,SRR9655014,SRR9655015,SRR9655018,SRR9655019,SRR9655020,SRR9655021,SRR9655022,SRR9655023,SRR9655025,SRR9655029,SRR9655030
K00003,682,1509,1219,2460,1898,658,1806,2223,1263,936,1250,783,1268,1758,2340,1223,996,460,1558,1695,733,678,1316,1047,1233,1652,859,1363,848,1198,1154,1011,1510,2340
K00004,0,3,0,0,0,4,2,26,4,0,0,0,0,4,0,0,0,1,0,9,0,3,94,0,21,0,0,3,0,6,2,0,0,2
K00005,1064,212,135,414,209,639,111,317,350,110,135,152,95,190,626,177,148,136,338,547,361,1011,508,240,435,395,528,191,101,65,329,65,429,347
K00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00007,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,79,0,2,0,0,0,0,0,0,0,0,0,0
K00008,18,3,4,94,79,9,38,60,11,10,1,6,39,30,4,13,28,4,14,5,11,6,2,15,74,65,12,5,0,3,0,12,12,78
K00009,1054,128,84,1110,185,520,137,177,289,40,98,88,146,95,16,51,246,58,236,217,364,532,72,233,192,523,265,32,137,135,286,116,200,94
K00010,73,14,74,306,460,43,119,141,104,132,159,52,153,35,285,83,451,26,231,124,127,507,36,46,106,232,55,76,33,276,63,98,355,51
K00012,778,339,294,176,116,401,472,728,323,573,416,767,321,127,685,511,114,347,557,246,468,314,339,570,550,727,383,466,278,345,668,493,150,225
K00013,975,538,259,834,820,398,1025,833,915,594,587,394,454,466,1532,857,412,296,821,636,622,373,1176,355,791,842,772,427,254,715,446,209,751,800
K00014,850,165,47,478,148,424,248,497,246,95,85,56,173,298,50,37,132,249,322,407,500,511,276,243,566,256,288,108,151,221,222,409,476,692
K00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00016,257,1448,1081,1158,1806,379,1528,1080,918,646,790,590,576,921,1876,734,725,302,1072,914,616,3300,266,644,269,1108,508,810,382,592,846,580,772,942
K00018,253,235,473,545,803,295,777,1040,355,503,627,327,101,646,384,865,391,169,408,453,180,69,276,271,423,350,454,488,298,773,297,292,548,217
K00019,708,1,7,10,0,304,0,21,36,2,25,0,0,62,0,30,4,3,18,31,227,401,0,143,44,15,189,3,14,9,0,12,32,1
K00020,128,303,44,501,107,21,85,140,203,8,21,15,235,39,278,87,20,49,391,117,19,17,631,118,229,221,251,69,160,212,285,55,350,149
K00021,0,40,0,0,0,1,89,0,51,0,0,0,0,0,0,0,0,5,22,0,2,0,110,32,85,0,45,1,0,27,45,15,66,20
K00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00024,131,6,8,15,26,23,28,23,56,53,63,48,21,33,1,19,3,177,63,7,6,3,111,273,210,85,55,7,70,60,24,279,20,11
K00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00027,197,158,322,526,383,176,732,443,330,292,419,166,252,278,471,395,362,141,572,253,219,143,576,358,565,550,482,470,339,598,330,222,322,341
K00029,169,5,2,10,9,306,21,77,40,193,108,81,0,84,0,89,22,148,6,29,112,463,65,46,117,14,170,4,12,91,3,10,18,2
K00030,122,103,35,145,23,5,135,46,340,42,90,20,129,7,416,112,31,46,146,53,20,4,267,7,183,420,128,266,161,97,18,56,60,37
K00031,1081,1727,830,1409,1299,852,1271,1407,2827,916,1051,831,764,1259,1594,1538,889,706,1298,1302,966,2040,1016,1326,924,1817,1029,1248,677,1162,1143,1140,982,1361
K00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
